FIPS,state,percapita,population,total_liabilities,revenue,lib_rev_ratio,name,state_abv
18179,Indiana,0,27964,0,0,null,Wells County,IN
18181,Indiana,0,24293,0,101828612,0,White County,IN
18183,Indiana,0,33406,0,0,null,Whitley County,IN
19001,Iowa,3118.54,7228,22540825,15612848,144.37,Adair County,IA
19003,Iowa,1567.63,3796,5950720,9570751,62.18,Adams County,IA
19005,Iowa,626.24,13886,8695956,15420516,56.39,Allamakee County,IA
19007,Iowa,271.19,12529,3397779,10566079,32.16,Appanoose County,IA
19009,Iowa,1725.11,5773,9959058,10464999,95.17,Audubon County,IA
19011,Iowa,244.41,25658,6271192,24352792,25.75,Benton County,IA
19013,Iowa,320.51,133455,42774074,69032493,61.96,Black Hawk County,IA
19015,Iowa,581.48,26643,15492316,25972511,59.65,Boone County,IA
19017,Iowa,329.4,24722,8143328,21378223,38.09,Bremer County,IA
19019,Iowa,670.91,21062,14130782,21537545,65.61,Buchanan County,IA
19021,Iowa,490.07,20493,10043016,20435756,49.14,Buena Vista County,IA
19023,Iowa,834.75,14915,12450295,19734644,63.09,Butler County,IA
19025,Iowa,586.25,9818,5755840,16871160,34.12,Calhoun County,IA
19027,Iowa,0,20498,0,0,null,Carroll County,IA
19029,Iowa,439.72,13427,5904169,17053821,34.62,Cass County,IA
19031,Iowa,326.13,18340,5981234,19541428,30.61,Cedar County,IA
19033,Iowa,477.25,43017,20530075,39268867,52.28,Cerro Gordo County,IA
19035,Iowa,505.49,11574,5850532,14067472,41.59,Cherokee County,IA
19037,Iowa,803.91,12097,9724863,19204381,50.64,Chickasaw County,IA
19039,Iowa,944.32,9259,8743474,11204457,78.04,Clarke County,IA
19041,Iowa,636.27,16507,10502849,25144567,41.77,Clay County,IA
19043,Iowa,293.54,17644,5179160,18138544,28.55,Clayton County,IA
19045,Iowa,659.29,47768,31493071,36558858,86.14,Clinton County,IA
19047,Iowa,378.7,17094,6473508,19140398,33.82,Crawford County,IA
19049,Iowa,517.43,80133,41463401,48306469,85.83,Dallas County,IA
19051,Iowa,839.91,8769,7365131,12977932,56.75,Davis County,IA
19053,Iowa,621.97,8220,5112626,10411449,49.11,Decatur County,IA
19055,Iowa,734.08,17403,12775192,20074531,63.64,Delaware County,IA
19057,Iowa,188.97,40055,7569076,24801441,30.52,Des Moines County,IA
19059,Iowa,1277.1,17111,21852464,28608431,76.38,Dickinson County,IA
19061,Iowa,535.23,97125,51983816,73115297,71.1,Dubuque County,IA
19063,Iowa,329.65,9769,3220344,9949681,32.37,Emmet County,IA
19065,Iowa,497.3,20257,10073886,24006193,41.96,Fayette County,IA
19067,Iowa,1495.12,15960,23862050,21686430,110.03,Floyd County,IA
19069,Iowa,1893.92,10295,19497924,20085871,97.07,Franklin County,IA
19071,Iowa,1432.61,6906,9893601,12869981,76.87,Fremont County,IA
19073,Iowa,978.14,9027,8829675,15607687,56.57,Greene County,IA
19075,Iowa,1488.07,12435,18504156,13561244,136.45,Grundy County,IA
19077,Iowa,2188.54,10676,23364826,18899145,123.63,Guthrie County,IA
19079,Iowa,1473.94,15190,22389205,24063701,93.04,Hamilton County,IA
19081,Iowa,369.03,10974,4049703,16389762,24.71,Hancock County,IA
19083,Iowa,1329.26,17367,23085259,21494079,107.4,Hardin County,IA
19085,Iowa,497.49,14265,7096682,19102582,37.15,Harrison County,IA
19087,Iowa,659.74,19950,13161805,16974753,77.54,Henry County,IA
19089,Iowa,1173.85,9410,11045970,14753124,74.87,Howard County,IA
19091,Iowa,638.34,9555,6099347,12790627,47.69,Humboldt County,IA
19093,Iowa,2895.98,7028,20352944,8378629,242.91,Ida County,IA
19095,Iowa,667,16401,10939422,28609488,38.24,Iowa County,IA
19097,Iowa,299.84,19444,5830034,21399644,27.24,Jackson County,IA
19099,Iowa,433.49,36827,15964176,33074602,48.27,Jasper County,IA
19101,Iowa,825.67,17555,14494624,16770085,86.43,Jefferson County,IA
19103,Iowa,262.59,144251,37879408,97000935,39.05,Johnson County,IA
19105,Iowa,267.24,20466,5469436,17146519,31.9,Jones County,IA
19107,Iowa,449.68,10163,4570130,11852593,38.56,Keokuk County,IA
19109,Iowa,994.81,15165,15086320,30630367,49.25,Kossuth County,IA
19111,Iowa,354.98,35089,12456011,29070495,42.85,Lee County,IA
19113,Iowa,511.7,219916,112530664,121259101,92.8,Linn County,IA
19115,Iowa,355.18,11185,3972683,16368518,24.27,Louisa County,IA
19117,Iowa,257.14,8682,2232508,9018052,24.76,Lucas County,IA
19119,Iowa,651.81,11745,7655468,18613636,41.13,Lyon County,IA
19121,Iowa,450.43,15753,7095647,18418910,38.52,Madison County,IA
19123,Iowa,649.77,22324,14505548,17762175,81.67,Mahaska County,IA
19125,Iowa,257.54,33294,8574424,26922377,31.85,Marion County,IA
19127,Iowa,169.79,40746,6918074,25153263,27.5,Marshall County,IA
19129,Iowa,1157.43,14844,17180923,22920163,74.96,Mills County,IA
19131,Iowa,3292.57,10832,35665109,17859726,199.7,Mitchell County,IA
19133,Iowa,559.41,8979,5022976,18567755,27.05,Monona County,IA
19135,Iowa,1109.07,7973,8842618,10163762,87,Monroe County,IA
19137,Iowa,1058.05,10234,10828091,16527421,65.52,Montgomery County,IA
19139,Iowa,444.4,43011,19114260,37890155,50.45,Muscatine County,IA
19141,Iowa,277.38,13984,3878841,14270974,27.18,O'Brien County,IA
19143,Iowa,1033.23,6154,6358506,14647790,43.41,Osceola County,IA
19145,Iowa,361.86,15527,5618655,14955139,37.57,Page County,IA
19147,Iowa,2152.71,9133,19660716,19298190,101.88,Palo Alto County,IA
19149,Iowa,341.72,24800,8474700,28857093,29.37,Plymouth County,IA
19151,Iowa,1512.19,7008,10597452,15541013,68.19,Pocahontas County,IA
19153,Iowa,831.86,467711,389072123,322095844,120.79,Polk County,IA
19155,Iowa,243.51,93671,22809822,79489940,28.7,Pottawattamie County,IA
19157,Iowa,467.34,18550,8669118,16256432,53.33,Poweshiek County,IA
19159,Iowa,778.76,5068,3946767,9682843,40.76,Ringgold County,IA
19161,Iowa,187.2,10021,1875886,13914183,13.48,Sac County,IA
19163,Iowa,364.3,172126,62705305,89280146,70.23,Scott County,IA
19165,Iowa,308.62,11927,3680857,13993293,26.3,Shelby County,IA
19167,Iowa,426.17,34937,14889184,28704375,51.87,Sioux County,IA
19169,Iowa,261.63,96021,25121536,46607455,53.9,Story County,IA
19171,Iowa,872.21,17337,15121586,19008644,79.55,Tama County,IA
19173,Iowa,1028.68,6205,6382963,10778137,59.22,Taylor County,IA
19175,Iowa,1177.73,12469,14685060,11993602,122.44,Union County,IA
19177,Iowa,320.03,7344,2350307,9201234,25.54,Van Buren County,IA
19179,Iowa,257.76,35173,9066264,19455999,46.6,Wapello County,IA
19181,Iowa,1074.29,48626,52238462,31876287,163.88,Warren County,IA
19183,Iowa,1352.99,22247,30099998,25774210,116.78,Washington County,IA
19185,Iowa,688.45,6385,4395752,9649009,45.56,Wayne County,IA
19187,Iowa,729.4,37071,27039583,37101234,72.88,Webster County,IA
19189,Iowa,2369.82,10609,25141387,16908001,148.7,Winnebago County,IA
19191,Iowa,369.37,20709,7649197,25820618,29.62,Winneshiek County,IA
19193,Iowa,234.61,102782,24113915,56229331,42.88,Woodbury County,IA
19195,Iowa,1881.12,7569,14238174,18090024,78.71,Worth County,IA
19197,Iowa,1646.12,12773,21025869,22622129,92.94,Wright County,IA
20001,Kansas,0,12717,0,20654496,0,Allen County,KS
20003,Kansas,0,7808,0,0,null,Anderson County,KS
20005,Kansas,0,16398,0,24648460,0,Atchison County,KS
20007,Kansas,0,4823,0,13632214,0,Barber County,KS
20009,Kansas,0,27103,0,34898839,0,Barton County,KS
20011,Kansas,0,14712,0,0,null,Bourbon County,KS
20013,Kansas,0,9776,0,12981088,0,Brown County,KS
20015,Kansas,0,66741,0,73593821,0,Butler County,KS
20017,Kansas,0,2679,0,0,null,Chase County,KS
20019,Kansas,0,3402,0,0,null,Chautauqua County,KS
20021,Kansas,0,20533,0,0,null,Cherokee County,KS
20023,Kansas,0,2679,0,0,null,Cheyenne County,KS
20025,Kansas,0,2096,0,0,null,Clark County,KS
20027,Kansas,2049.12,8347,17103968,13630415,125.48,Clay County,KS
20029,Kansas,0,9219,0,16165972,0,Cloud County,KS
20031,Kansas,0,8384,0,43220104,0,Coffey County,KS
20033,Kansas,0,1843,0,0,null,Comanche County,KS
20035,Kansas,0,35788,0,0,null,Cowley County,KS
20037,Kansas,0,39217,0,0,null,Crawford County,KS
20039,Kansas,0,2932,0,0,null,Decatur County,KS
20041,Kansas,0,19303,0,34835434,0,Dickinson County,KS
20043,Kansas,0,7797,0,11300082,0,Doniphan County,KS
20045,Kansas,0,118053,0,0,null,Douglas County,KS
20047,Kansas,0,2968,0,0,null,Edwards County,KS
20049,Kansas,0,2605,0,0,null,Elk County,KS
20051,Kansas,0,29029,0,38246797,0,Ellis County,KS
20053,Kansas,0,6343,0,10950898,0,Ellsworth County,KS
20055,Kansas,0,37118,0,56566264,0,Finney County,KS
20057,Kansas,0,34536,0,0,null,Ford County,KS
20059,Kansas,0,25609,0,42973086,0,Franklin County,KS
20061,Kansas,0,37030,0,0,null,Geary County,KS
20063,Kansas,0,2640,0,0,null,Gove County,KS
20065,Kansas,0,2591,0,8728836,0,Graham County,KS
20067,Kansas,0,7733,0,13434142,0,Grant County,KS
20069,Kansas,0,6133,0,14350746,0,Gray County,KS
20071,Kansas,null,null,0,0,null,Greeley County,KS
20073,Kansas,0,6244,0,9836015,0,Greenwood County,KS
20075,Kansas,0,2474,0,8392995,0,Hamilton County,KS
20077,Kansas,0,5817,0,14971909,0,Harper County,KS
20079,Kansas,0,35073,0,37969522,0,Harvey County,KS
20081,Kansas,0,4064,0,15619574,0,Haskell County,KS
20083,Kansas,0,1893,0,0,null,Hodgeman County,KS
20085,Kansas,363.85,13338,4853061,22384900,21.68,Jackson County,KS
20087,Kansas,0,18930,0,29916656,0,Jefferson County,KS
20089,Kansas,0,2970,0,10405513,0,Jewell County,KS
20091,Kansas,2383.84,580159,1383005817,828285621,166.97,Johnson County,KS
20093,Kansas,0,3956,0,11937445,0,Kearny County,KS
20095,Kansas,0,7687,0,15127231,0,Kingman County,KS
20097,Kansas,0,2564,0,0,null,Kiowa County,KS
20099,Kansas,0,20803,0,20533197,0,Labette County,KS
20101,Kansas,0,1670,0,0,null,Lane County,KS
20103,Kansas,0,79315,0,92281019,0,Leavenworth County,KS
20105,Kansas,0,3105,0,0,null,Lincoln County,KS
20107,Kansas,0,9536,0,0,null,Linn County,KS
20109,Kansas,0,2825,0,0,null,Logan County,KS
20111,Kansas,0,33339,0,37837651,0,Lyon County,KS
20113,Kansas,0,28941,0,0,null,McPherson County,KS
20115,Kansas,0,12103,0,22621663,0,Marion County,KS
20117,Kansas,0,9936,0,21042866,0,Marshall County,KS
20119,Kansas,0,4330,0,10599946,0,Meade County,KS
20121,Kansas,0,32553,0,46369730,0,Miami County,KS
20123,Kansas,0,6282,0,18444043,0,Mitchell County,KS
20125,Kansas,0,33314,0,33759539,0,Montgomery County,KS
20127,Kansas,0,5645,0,14413398,0,Morris County,KS
20129,Kansas,0,3007,0,0,null,Morton County,KS
20131,Kansas,0,10227,0,17621129,0,Nemaha County,KS
20133,Kansas,0,16346,0,0,null,Neosho County,KS
20135,Kansas,0,3005,0,0,null,Ness County,KS
20137,Kansas,0,5550,0,10095684,0,Norton County,KS
20139,Kansas,0,15847,0,0,null,Osage County,KS
20141,Kansas,0,3683,0,30228955,0,Osborne County,KS
20143,Kansas,0,5975,0,12970016,0,Ottawa County,KS
20145,Kansas,0,6838,0,12293096,0,Pawnee County,KS
20147,Kansas,0,5428,0,0,null,Phillips County,KS
20149,Kansas,0,23298,0,73144724,0,Pottawatomie County,KS
20151,Kansas,0,9691,0,19924279,0,Pratt County,KS
20153,Kansas,0,2506,0,6681781,0,Rawlins County,KS
20155,Kansas,0,63718,0,79622721,0,Reno County,KS
20157,Kansas,0,4725,0,0,null,Republic County,KS
20159,Kansas,0,9977,0,15092528,0,Rice County,KS
20161,Kansas,0,75247,0,72247806,0,Riley County,KS
20163,Kansas,0,5174,0,15473517,0,Rooks County,KS
20165,Kansas,0,3130,0,10162217,0,Rush County,KS
20167,Kansas,0,7039,0,0,null,Russell County,KS
20169,Kansas,0,55691,0,58688110,0,Saline County,KS
20171,Kansas,0,4964,0,13733749,0,Scott County,KS
20173,Kansas,842.82,511574,431165439,432436063,99.71,Sedgwick County,KS
20175,Kansas,1024.85,23152,23727318,34610129,68.56,Seward County,KS
20177,Kansas,986.82,178725,176368814,177496061,99.36,Shawnee County,KS
20179,Kansas,0,2512,0,0,null,Sheridan County,KS
20181,Kansas,0,5983,0,27232038,0,Sherman County,KS
20183,Kansas,0,3704,0,13830604,0,Smith County,KS
20185,Kansas,0,4236,0,10050616,0,Stafford County,KS
20187,Kansas,0,2072,0,0,null,Stanton County,KS
20189,Kansas,0,5806,0,15056283,0,Stevens County,KS
20191,Kansas,0,23535,0,35124518,0,Sumner County,KS
20193,Kansas,0,7904,0,17631896,0,Thomas County,KS
20195,Kansas,0,2927,0,0,null,Trego County,KS
20197,Kansas,0,6951,0,11106659,0,Wabaunsee County,KS
20199,Kansas,0,1518,0,0,null,Wallace County,KS
20201,Kansas,0,5598,0,14176561,0,Washington County,KS
20203,Kansas,0,2157,0,0,null,Wichita County,KS
20205,Kansas,0,8856,0,0,null,Wilson County,KS
20207,Kansas,0,3115,0,0,null,Woodson County,KS
20209,Kansas,null,null,0,0,null,Wyandotte County,KS
21001,Kentucky,0,19027,0,0,null,Adair County,KY
21003,Kentucky,0,20640,0,0,null,Allen County,KY
21005,Kentucky,0,21979,0,0,null,Anderson County,KY
21007,Kentucky,0,8212,0,0,null,Ballard County,KY
21009,Kentucky,0,43570,0,0,null,Barren County,KY
21011,Kentucky,0,12228,0,0,null,Bath County,KY
21013,Kentucky,0,27337,0,0,null,Bell County,KY
21015,Kentucky,0,127712,0,0,null,Boone County,KY
21017,Kentucky,0,20116,0,0,null,Bourbon County,KY
21019,Kentucky,0,48325,0,0,null,Boyd County,KY
21021,Kentucky,0,29809,0,0,null,Boyle County,KY
21023,Kentucky,0,8321,0,0,null,Bracken County,KY
21025,Kentucky,0,13484,0,0,null,Breathitt County,KY
21027,Kentucky,0,20018,0,0,null,Breckinridge County,KY
21029,Kentucky,0,78702,0,0,null,Bullitt County,KY
21031,Kentucky,null,null,0,0,null,Butler County,KY
21033,Kentucky,0,12681,0,0,null,Caldwell County,KY
21035,Kentucky,0,38343,0,0,null,Calloway County,KY
21037,Kentucky,0,92066,0,0,null,Campbell County,KY
21039,Kentucky,0,4874,0,0,null,Carlisle County,KY
21041,Kentucky,0,10699,0,0,null,Carroll County,KY
21043,Kentucky,0,27158,0,0,null,Carter County,KY
21045,Kentucky,0,15808,0,0,null,Casey County,KY
21047,Kentucky,0,73309,0,28699190,0,Christian County,KY
21049,Kentucky,0,35757,0,0,null,Clark County,KY
21051,Kentucky,0,21013,0,0,null,Clay County,KY
21053,Kentucky,0,10174,0,0,null,Clinton County,KY
21055,Kentucky,0,9183,0,0,null,Crittenden County,KY
21057,Kentucky,0,6759,0,0,null,Cumberland County,KY
21059,Kentucky,0,99259,0,60191669,0,Daviess County,KY
21061,Kentucky,0,12007,0,0,null,Edmonson County,KY
21063,Kentucky,0,7648,0,0,null,Elliott County,KY
21065,Kentucky,0,14375,0,0,null,Estill County,KY
21067,Kentucky,null,null,0,0,null,Fayette County,KY
21069,Kentucky,0,14637,0,0,null,Fleming County,KY
21071,Kentucky,0,37756,0,0,null,Floyd County,KY
21073,Kentucky,0,50375,0,29283907,0,Franklin County,KY
21075,Kentucky,0,6238,0,0,null,Fulton County,KY
21077,Kentucky,0,8636,0,0,null,Gallatin County,KY
21079,Kentucky,0,17237,0,0,null,Garrard County,KY
21081,Kentucky,0,24757,0,16090027,0,Grant County,KY
21083,Kentucky,0,37421,0,0,null,Graves County,KY
21085,Kentucky,0,26221,0,42600408,0,Grayson County,KY
21087,Kentucky,0,11010,0,0,null,Green County,KY
21089,Kentucky,0,36068,0,0,null,Greenup County,KY
21091,Kentucky,0,8692,0,0,null,Hancock County,KY
21093,Kentucky,0,106439,0,0,null,Hardin County,KY
21095,Kentucky,0,27703,0,0,null,Harlan County,KY
21097,Kentucky,0,18763,0,0,null,Harrison County,KY
21099,Kentucky,0,18454,0,0,null,Hart County,KY
21101,Kentucky,0,46407,0,30821848,0,Henderson County,KY
21103,Kentucky,0,15620,0,0,null,Henry County,KY
21105,Kentucky,0,4612,0,0,null,Hickman County,KY
21107,Kentucky,0,46222,0,0,null,Hopkins County,KY
21109,Kentucky,0,13352,0,0,null,Jackson County,KY
21111,Kentucky,null,null,0,0,null,Jefferson County,KY
21113,Kentucky,0,51961,0,0,null,Jessamine County,KY
21115,Kentucky,0,23175,0,10221257,0,Johnson County,KY
21117,Kentucky,0,165012,0,64111892,0,Kenton County,KY
21119,Kentucky,0,15693,0,0,null,Knott County,KY
21121,Kentucky,0,31730,0,20684238,0,Knox County,KY
21123,Kentucky,0,14241,0,0,null,Larue County,KY
21125,Kentucky,0,60094,0,0,null,Laurel County,KY
21127,Kentucky,0,15745,0,0,null,Lawrence County,KY
21129,Kentucky,0,6752,0,0,null,Lee County,KY
21131,Kentucky,0,10711,0,0,null,Leslie County,KY
21133,Kentucky,0,23123,0,0,null,Letcher County,KY
21135,Kentucky,0,13682,0,0,null,Lewis County,KY
21137,Kentucky,0,24463,0,0,null,Lincoln County,KY
21139,Kentucky,0,9316,0,0,null,Livingston County,KY
21141,Kentucky,0,26910,0,0,null,Logan County,KY
21143,Kentucky,0,8306,0,0,null,Lyon County,KY
21145,Kentucky,0,65018,0,0,null,McCracken County,KY
21147,Kentucky,0,17878,0,0,null,McCreary County,KY
21149,Kentucky,0,9512,0,0,null,McLean County,KY
21151,Kentucky,0,87824,0,32669114,0,Madison County,KY
21153,Kentucky,0,12808,0,0,null,Magoffin County,KY
21155,Kentucky,0,19365,0,0,null,Marion County,KY
21157,Kentucky,0,31101,0,0,null,Marshall County,KY
21159,Kentucky,0,12307,0,0,null,Martin County,KY
21161,Kentucky,0,17099,0,0,null,Mason County,KY
21163,Kentucky,0,27924,0,0,null,Meade County,KY
21165,Kentucky,0,6358,0,0,null,Menifee County,KY
21167,Kentucky,0,21407,0,0,null,Mercer County,KY
21169,Kentucky,0,9909,0,0,null,Metcalfe County,KY
21171,Kentucky,0,10667,0,0,null,Monroe County,KY
21173,Kentucky,0,27608,0,0,null,Montgomery County,KY
21175,Kentucky,0,13275,0,0,null,Morgan County,KY
21177,Kentucky,0,31183,0,0,null,Muhlenberg County,KY
21179,Kentucky,0,45126,0,26755377,0,Nelson County,KY
21181,Kentucky,0,7131,0,0,null,Nicholas County,KY
21183,Kentucky,0,24216,0,0,null,Ohio County,KY
21185,Kentucky,0,64875,0,41163020,0,Oldham County,KY
21187,Kentucky,0,10730,0,0,null,Owen County,KY
21189,Kentucky,0,4461,0,0,null,Owsley County,KY
21191,Kentucky,0,14408,0,0,null,Pendleton County,KY
21193,Kentucky,0,27565,0,0,null,Perry County,KY
21195,Kentucky,0,61792,0,36498873,0,Pike County,KY
21197,Kentucky,0,12269,0,11451846,0,Powell County,KY
21199,Kentucky,0,63782,0,0,null,Pulaski County,KY
21201,Kentucky,0,2138,0,0,null,Robertson County,KY
21203,Kentucky,0,16942,0,0,null,Rockcastle County,KY
21205,Kentucky,0,23892,0,15824330,0,Rowan County,KY
21207,Kentucky,0,17662,0,12252098,0,Russell County,KY
21209,Kentucky,0,52420,0,0,null,Scott County,KY
21211,Kentucky,0,45632,0,0,null,Shelby County,KY
21213,Kentucky,0,18006,0,0,null,Simpson County,KY
21215,Kentucky,0,17894,0,7045399,0,Spencer County,KY
21217,Kentucky,0,25420,0,14546298,0,Taylor County,KY
21219,Kentucky,0,12531,0,0,null,Todd County,KY
21221,Kentucky,0,14233,0,0,null,Trigg County,KY
21223,Kentucky,0,8769,0,0,null,Trimble County,KY
21225,Kentucky,0,15050,0,11422033,0,Union County,KY
21227,Kentucky,0,122851,0,49903763,0,Warren County,KY
21229,Kentucky,0,12063,0,0,null,Washington County,KY
21231,Kentucky,0,20464,0,11732076,0,Wayne County,KY
21233,Kentucky,0,13170,0,0,null,Webster County,KY
21235,Kentucky,0,36129,0,0,null,Whitley County,KY
21237,Kentucky,0,7259,0,0,null,Wolfe County,KY
21239,Kentucky,0,25793,0,24289461,0,Woodford County,KY
22001,Louisiana,245.44,62577,15358961,26005740,59.06,Acadia Parish,LA
22003,Louisiana,435.42,25683,11182871,18324760,61.03,Allen Parish,LA
22005,Louisiana,1233.53,119455,147350851,134435036,109.61,Ascension Parish,LA
22007,Louisiana,313.63,22842,7163954,18296806,39.15,Assumption Parish,LA
22009,Louisiana,42.84,41103,1760900,12560233,14.02,Avoyelles Parish,LA
22011,Louisiana,269.43,36462,9823910,19481088,50.43,Beauregard Parish,LA
22013,Louisiana,779.98,13786,10752848,10085627,106.62,Bienville Parish,LA
22015,Louisiana,621.39,125175,77782697,70897412,109.71,Bossier Parish,LA
22017,Louisiana,0,251460,0,0,null,Caddo Parish,LA
22019,Louisiana,1043.34,198788,207402958,223124117,92.95,Calcasieu Parish,LA
22021,Louisiana,0,9993,0,0,null,Caldwell Parish,LA
22023,Louisiana,3694.72,6817,25186875,42254327,59.61,Cameron Parish,LA
22025,Louisiana,0,10147,0,0,null,Catahoula Parish,LA
22027,Louisiana,0,16295,0,0,null,Claiborne Parish,LA
22029,Louisiana,321.42,20142,6473988,8196862,78.98,Concordia Parish,LA
22031,Louisiana,0,27052,0,0,null,De Soto Parish,LA
22033,Louisiana,null,null,0,0,null,East Baton Rouge Parish,LA
22035,Louisiana,0,7307,0,0,null,East Carroll Parish,LA
22037,Louisiana,0,19696,0,0,null,East Feliciana Parish,LA
22039,Louisiana,618.38,33743,20865891,14496539,143.94,Evangeline Parish,LA
22041,Louisiana,168.9,20410,3447176,10185546,33.84,Franklin Parish,LA
22043,Louisiana,67.91,22343,1517368,6640393,22.85,Grant Parish,LA
22045,Louisiana,584.25,74103,43294756,30070185,143.98,Iberia Parish,LA
22047,Louisiana,692.33,33095,22912757,54528306,42.02,Iberville Parish,LA
22049,Louisiana,0,15858,0,0,null,Jackson Parish,LA
22051,Louisiana,2972.03,436275,1296623000,754033000,171.96,Jefferson Parish,LA
22053,Louisiana,0,31439,0,0,null,Jefferson Davis Parish,LA
22055,Louisiana,null,null,0,0,null,Lafayette Parish,LA
22057,Louisiana,621.56,98325,61115245,63008131,97,Lafourche Parish,LA
22059,Louisiana,0,14974,0,0,null,La Salle Parish,LA
22061,Louisiana,0,47774,0,0,null,Lincoln Parish,LA
22063,Louisiana,420.73,137788,57971270,64177746,90.33,Livingston Parish,LA
22065,Louisiana,0,11514,0,0,null,Madison Parish,LA
22067,Louisiana,0,26395,0,0,null,Morehouse Parish,LA
22069,Louisiana,0,39179,0,0,null,Natchitoches Parish,LA
22071,Louisiana,null,null,0,0,null,Orleans Parish,LA
22073,Louisiana,436.13,156761,68368204,109309400,62.55,Ouachita Parish,LA
22075,Louisiana,9907.98,23495,232787918,96974537,240.05,Plaquemines Parish,LA
22077,Louisiana,747.15,22251,16624817,14953988,111.17,Pointe Coupee Parish,LA
22079,Louisiana,615.96,132141,81393259,52230404,155.84,Rapides Parish,LA
22081,Louisiana,0,8593,0,0,null,Red River Parish,LA
22083,Louisiana,24.3,20523,498809,10569376,4.72,Richland Parish,LA
22085,Louisiana,0,24186,0,0,null,Sabine Parish,LA
22087,Louisiana,2579.66,45408,117137167,88702132,132.06,St. Bernard Parish,LA
22089,Louisiana,0,52812,0,0,null,St. Charles Parish,LA
22091,Louisiana,0,10567,0,0,null,St. Helena Parish,LA
22093,Louisiana,1340.07,21567,28901235,42574277,67.88,St. James Parish,LA
22095,Louisiana,0,43626,0,0,null,St. John the Baptist Parish,LA
22097,Louisiana,0,83848,0,0,null,St. Landry Parish,LA
22099,Louisiana,0,53835,0,0,null,St. Martin Parish,LA
22101,Louisiana,0,52810,0,0,null,St. Mary Parish,LA
22103,Louisiana,846.75,250088,211762698,184493526,114.78,St. Tammany Parish,LA
22105,Louisiana,228.47,128755,29416817,65462639,44.94,Tangipahoa Parish,LA
22107,Louisiana,1172.36,4740,5556963,4749910,116.99,Tensas Parish,LA
22109,Louisiana,null,null,376803160,202618629,185.97,Terrebonne Parish,LA
22111,Louisiana,0,22477,0,0,null,Union Parish,LA
22113,Louisiana,468.66,59875,28061153,33015819,84.99,Vermilion Parish,LA
22115,Louisiana,692.84,50803,35198215,29947234,117.53,Vernon Parish,LA
22117,Louisiana,73.87,46371,3425497,22644996,15.13,Washington Parish,LA
22119,Louisiana,232.18,40021,9291918,13445072,69.11,Webster Parish,LA
22121,Louisiana,0,25490,0,0,null,West Baton Rouge Parish,LA
22123,Louisiana,0,11293,0,0,null,West Carroll Parish,LA
22125,Louisiana,413.91,15385,6368028,15476597,41.15,West Feliciana Parish,LA
22127,Louisiana,183.19,14568,2668686,8122493,32.86,Winn Parish,LA
23001,Maine,0,107233,0,0,null,Androscoggin County,ME
23003,Maine,0,68628,0,0,null,Aroostook County,ME
23005,Maine,188.43,289977,54640686,62706342,87.14,Cumberland County,ME
23007,Maine,0,29991,0,0,null,Franklin County,ME
23009,Maine,90.03,54659,4920723,12093684,40.69,Hancock County,ME
23011,Maine,0,119980,0,0,null,Kennebec County,ME
23013,Maine,141.63,39855,5644825,14857393,37.99,Knox County,ME
23015,Maine,313.07,33969,10634808,12954437,82.09,Lincoln County,ME
23017,Maine,153.84,57202,8800088,11765602,74.8,Oxford County,ME
23019,Maine,0,152692,0,0,null,Penobscot County,ME
23021,Maine,0,16931,0,0,null,Piscataquis County,ME
23023,Maine,92.08,35149,3236649,10036381,32.25,Sagadahoc County,ME
23025,Maine,0,51113,0,0,null,Somerset County,ME
23027,Maine,0,39155,0,0,null,Waldo County,ME
23029,Maine,0,31625,0,0,null,Washington County,ME
23031,Maine,0,201169,0,0,null,York County,ME
24001,Maryland,1697.56,72528,123120774,122734145,100.32,Allegany County,MD
24003,Maryland,7328.26,564195,4134565173,2203700704,187.62,Anne Arundel County,MD
24005,Maryland,0,831128,0,0,null,Baltimore County,MD
24009,Maryland,3292.64,90595,298296746,358699056,83.16,Calvert County,MD
24011,Maryland,2285.18,32579,74448832,61857074,120.36,Caroline County,MD
24013,Maryland,3243.95,167627,543773497,507803831,107.08,Carroll County,MD
24015,Maryland,3782.44,102382,387253664,268214808,144.38,Cecil County,MD
24017,Maryland,5062.44,156118,790338732,579260422,136.44,Charles County,MD
24019,Maryland,3275.24,32384,106065399,64399327,164.7,Dorchester County,MD
24021,Maryland,3689.28,245322,905060688,917939754,98.6,Frederick County,MD
24023,Maryland,3259.62,29460,96028261,106339682,90.3,Garrett County,MD
24025,Maryland,4247.37,250290,1063073380,815240458,130.4,Harford County,MD
24027,Maryland,8800.58,313414,2758224249,1723259094,160.06,Howard County,MD
24029,Maryland,3221.66,19787,63747071,58470282,109.02,Kent County,MD
24031,Maryland,6168.19,1040116,6415638072,5082707410,126.22,Montgomery County,MD
24033,Maryland,8659.58,909535,7876190727,2497217158,315.4,Prince George's County,MD
24035,Maryland,5699.38,48904,278722594,189487647,147.09,Queen Anne's County,MD
24037,Maryland,2371.24,111413,264187368,295732013,89.33,St. Mary's County,MD
24039,Maryland,2503.83,25768,64518778,51810698,124.53,Somerset County,MD
24041,Maryland,2551.43,37512,95709253,123830408,77.29,Talbot County,MD
24043,Maryland,2501.2,149585,374142656,311192268,120.23,Washington County,MD
24045,Maryland,2103.37,102370,215322000,179048498,120.26,Wicomico County,MD
24047,Maryland,4496.83,51540,231766511,232870638,99.53,Worcester County,MD
